Kaze BOM,,,,,,,,,
JLCPCB BOM,,,,,,,,,
Index,Item,Price,Note,,,,,,
1,PCB from JLCPCB,2.10 $US,,,,,,,
2,Stencil,7.00 $US,,,,,,,
3,JLCPCB Shipping,26.55 $US,"Cheapest possible. (Global Standard Direct Line), possible to reduce in half if ordered with other project",,,,,,
Digikey BOM,,,,,,,,,
Index,Manufacturer Part Number,Total Price,Description,Quantity,Pack Type,Digi-Key Part Number,Unit Price,Manufacturer Name,Reference Designator
1,ESP32-C6-MINI-1-N4,9.02 $US,RF TXRX MOD BT WIFI PCB TH SMD,2,Cut Tape (CT),1965-ESP32-C6-MINI-1-H4CT-ND,4.51,Espressif Systems,U4
2,SKRKAEE020,1.64 $US,SWITCH TACTILE SPST-NO 0.05A 12V,4,Cut Tape (CT),4809-SKRKAEE020CT-ND,0.41000,Alps Alpine,"SW1, SW2"
3,BME680,17.30 $US,SENSOR GAS/HUM/PRES/TEMP I2C SPI,2,Cut Tape (CT),828-1077-1-ND,8.65000,Bosch Sensortec,U2
4,TSL25911FN,3.34 $US,SENSOR OPT AMBIENT 6 WFDFN,2,Cut Tape (CT),TSL25911FNCT-ND,1.67000,ams-OSRAM USA INC.,U1
5,4684,3.95 $US,ADDRESS LED DISCRETE RGB,1,Bag,1528-4684-ND,3.95000,Adafruit Industries LLC,"D1, D2, D3, D4, D5"
6,USB4105-GF-A,1.56 $US,CONN RCP USB2.0 TYP C 16P SMD RA,2,Cut Tape (CT),2073-USB4105-GF-ACT-ND,0.78000,GCT,P1
7,AP2112K-3.3TRG1,0.44 $US,IC REG LINEAR 3.3V 600MA SOT-25,2,Cut Tape (CT),AP2112K-3.3TRG1DICT-ND,0.22000,Diodes Incorporated,U3
8,MCP73831T-2ACI/OT,1.52 $US,IC BATT CNTL LI-ION 1CEL SOT23-5,2,Cut Tape (CT),MCP73831T-2ACI/OTCT-ND,0.76000,Microchip Technology,U5
9,CL05B104KP5VPNC,0.74 $US,CAP CER 100NF 10V X7R 0402,20,Cut Tape (CT),1276-CL05B104KP5VPNCCT-ND,0.03700,Samsung Electro-Mechanics,"C1, C8, C10, C12, C13, C14, C15, C16, C2, C5"
10,CL05A475MO5NUNC,0.32 $US,CAP CER 4.7UF 16V X5R 0402,4,Cut Tape (CT),1276-6836-1-ND,0.08000,Samsung Electro-Mechanics,"C11, C17"
11,CL05A106MP6NUN8,0.48 $US,CAP CER 10UF 10V X5R 0402,4,Cut Tape (CT),1276-CL05A106MP6NUN8CT-ND,0.12000,Samsung Electro-Mechanics,
12,RC0402JR-0710KL,0.12 $US,RES 10K OHM 5% 1/16W 0402,20,Cut Tape (CT),311-10KJRCT-ND,0.00600,YAGEO,
13,RC0402JR-074K7L,0.03 $US,RES 4.7K OHM 5% 1/16W 0402,10,Cut Tape (CT),311-4.7KJRCT-ND,0.00300,YAGEO,
14,RC0402FR-0722RL,0.07 $US,RES 22 OHM 1% 1/16W 0402,10,Cut Tape (CT),311-22.0LRCT-ND,0.00700,YAGEO,
15,RC0402JR-072K4L,0.20 $US,RES 2.4K OHM 5% 1/16W 0402,2,Cut Tape (CT),311-2.4KJRCT-ND,0.10000,YAGEO,
16,RC0402FR-075K1L,0.08 $US,RES 5.1K OHM 1% 1/16W 0402,10,Cut Tape (CT),311-5.10KLRCT-ND,0.00800,YAGEO,
17,CL05A105KO5NNNC,0.06 $US,CAP CER 1UF 16V X5R 0402,10,Cut Tape (CT),1276-1067-1-ND,0.00600,Samsung Electro-Mechanics,
18,CL05A226MQ5N6J8,0.26 $US,CAP CER 22UF 6.3V X5R 0402,2,Cut Tape (CT),1276-7090-1-ND,0.13000,Samsung Electro-Mechanics,
TOTAL,,41.13 $US,,,,,,,
TOTAL IN BOM,,76.78 $US,,,,,,,
